volume,pagina,book,value
2,958,Lm,1:7
2,961,Lm,1:9
2,962,Lm,1:12
2,963,Lm,1:13
2,965,Lm,1:14
2,968,Lm,1:144
2,969,Lm,1:14
2,970,Lm,1:16
2,972,Lm,1:19
2,973,Lm,1:21
2,976,Lm,2:6
2,977,Lm,2:12
2,978,Lm,2:13
2,979,Lm,2:16
2,981,Lm,2:18
2,983,Lm,2:21
2,984,Lm,3:5
2,986,Lm,3:11
2,988,Lm,3:14
2,989,Lm,3:16
2,991,Lm,3:17
2,993,Lm,3:20
2,995,Lm,3:22
2,997,Lm,3:27
2,998,Lm,3:31
2,999,Lm,3:51
2,1000,Lm,3:56
2,1001,Lm,3:59
2,1002,Lm,3:66
2,1003,Lm,4:3
2,1004,Lm,4:7
2,1005,Lm,4:15
2,1006,Lm,4:18
3,270,Ez,1:1
3,271,Ez,1:10
3,272,Ez,1:11
3,274,Ez,1:13
3,276,Ez,1:14
3,277,Ez,1:15
3,278,Ez,1:16
3,279,Ez,1:18
3,280,Ez,1:20
3,281,Ez,1:22
3,282,Ez,1:24
3,283,Ez,1:25
3,284,Ez,2:3
3,285,Ez,2:7
3,287,Ez,3:12
3,288,Ez,3:15
3,290,Ez,4:4
3,291,Ez,4:5 &9
3,292,Ez,5:7
3,294,Ez,5:11
3,296,Ez,5:15
3,297,Ez,6:6
3,299,Ez,6:8
3,300,Ez,6:9
3,302,Ez,6:14
3,304,Ez,7:2
3,305,Ez,7:5
3,307,Ez,7:6
3,308,Ez,7:7
3,312,Ez,7:11
3,319,Ez,7:16
3,321,Ez,7:23
3,323,Ez,8:2
3,325,Ez,8:12
3,326,Ez,9:3
3,327,Ez,9:7
3,328,Ez,10:12
3,329,Ez,10:14
3,330,Ez,10:22
3,332,Ez,11:7
3,333,Ez,11:15
3,334,Ez,11:19
3,340,Ez,11:21
3,341,Ez,12:5
3,341,Ez,12:6
3,342,Ez,12:7
3,343,Ez,12:10
3,346,Ez,12:12
3,348,Ez,12:19
3,349,Ez,13:2
3,350,Ez,13:11
3,353,Ez,13:15
3,354,Ez,13:18
3,355,Ez,13:20
3,358,Ez,14:4
3,359,Ez,14:22
